TPJOJ.2.4                  : Data Processing Version ID
000314 Victoria_1          : Target database id number and name
 -0.690  33.560            : Latitude and longitude (degrees East) of target mid-point
 -0.019  -1.335            : Latitude range of pass traversing target at which data is accepted
120      60                : Satellite pass and revolution number designation
          1                : Reference pass derived from Jason-2 cycle #
          1                : Reference pass tracker selection (ocean=0, ice=1)
Column 1: Calendar year/month/day
Column 2: Hour of day
Column 3: Minute of hour
Column 4: Smoothed target height variation with respect to Jason-2 reference pass level (meters, default=999.99)
Column 5: Smoothed target height variation in EGM2008 datum (meters above mean sea level, default=9999.99)
20051108  1 42     -0.44   1134.68
20051117 23 41     -0.45   1134.67
20051127 21 39     -0.47   1134.65
20051207 19 38     -0.49   1134.62
20051217 17 36     -0.53   1134.59
20051227 15 35     -0.57   1134.55
20060106 13 33     -0.60   1134.52
20060116 11 32     -0.63   1134.49
20060126  9 30     -0.66   1134.46
20060205  7 29     -0.68   1134.44
20060215  5 28     -0.68   1134.44
99999999 99 99    999.99   9999.99
20060307  1 25     -0.67   1134.45
20060316 23 23     -0.64   1134.48
20060326 21 22     -0.61   1134.51
20060405 19 20     -0.56   1134.56
20060415 17 19     -0.51   1134.61
20060425 15 17     -0.46   1134.66
20060505 13 16     -0.41   1134.71
20060515 11 14     -0.38   1134.74
20060525  9 13     -0.37   1134.74
20060604  7 11     -0.38   1134.74
20060614  5 10     -0.40   1134.72
20060624  3  8     -0.43   1134.69
20060704  1  7     -0.47   1134.65
20060713 23  5     -0.50   1134.61
20060723 21  4     -0.54   1134.58
20060802 19  2     -0.57   1134.55
20060812 17  1     -0.60   1134.52
20060822 15  0     -0.61   1134.51
20060901 12 58     -0.63   1134.49
20060911 10 57     -0.67   1134.45
20060921  8 55     -0.70   1134.42
20061001  6 54     -0.73   1134.39
20061011  4 52     -0.74   1134.38
20061021  2 51     -0.71   1134.41
99999999 99 99    999.99   9999.99
99999999 99 99    999.99   9999.99
20061119 20 46     -0.65   1134.47
20061129 18 45     -0.56   1134.56
20061209 16 43     -0.44   1134.68
20061219 14 42     -0.34   1134.78
20061229 12 40     -0.26   1134.86
20070108 10 39     -0.20   1134.92
20070118  8 37     -0.15   1134.97
20070128  6 36     -0.12   1135.00
20070207  4 35     -0.11   1135.01
20070217  2 33     -0.09   1135.03
20070226  0 32     -0.08   1135.04
20070308 22 30     -0.07   1135.05
20070318 20 29     -0.07   1135.05
20070328 18 27     -0.07   1135.05
20070407 16 26     -0.06   1135.06
20070417 14 24     -0.04   1135.08
20070427 12 23     -0.02   1135.10
20070507 10 21      0.00   1135.12
20070517  8 20      0.02   1135.14
20070527  6 18      0.03   1135.15
20070606  4 17      0.04   1135.16
20070616  2 15      0.04   1135.16
20070625  0 14      0.04   1135.16
20070705 22 13      0.03   1135.15
20070715 20 11      0.02   1135.14
20070725 18 10      0.00   1135.12
20070804 16  8     -0.01   1135.11
20070814 14  7     -0.02   1135.10
20070824 12  5     -0.01   1135.11
20070903 10  4     -0.01   1135.11
20070913  8  2     -0.01   1135.11
20070923  6  1     -0.02   1135.10
20071003  3 59     -0.04   1135.08
20071013  1 58     -0.05   1135.07
20071022 23 56     -0.05   1135.07
20071101 21 55     -0.05   1135.07
20071111 19 53     -0.05   1135.07
20071121 17 52     -0.05   1135.07
20071201 15 50     -0.04   1135.08
20071211 13 49     -0.05   1135.07
20071221 11 47     -0.05   1135.07
20071231  9 46     -0.05   1135.07
20080110  7 45     -0.05   1135.07
20080120  5 43     -0.04   1135.08
20080130  3 42     -0.04   1135.08
20080209  1 40     -0.03   1135.09
20080218 23 39     -0.03   1135.09
20080228 21 37     -0.02   1135.10
20080309 19 36     -0.02   1135.10
20080319 17 34     -0.01   1135.11
20080329 15 33      0.02   1135.14
20080408 13 31      0.05   1135.17
20080418 11 30      0.08   1135.20
20080428  9 28      0.11   1135.23
99999999 99 99    999.99   9999.99
20080518  5 25      0.13   1135.25
20080528  3 24      0.13   1135.25
20080607  1 22      0.11   1135.23
20080616 23 21      0.09   1135.21
20080626 21 20      0.06   1135.18
20080706 19 18      0.04   1135.16
20080716 17 17      0.01   1135.12
20080726 15 15     -0.02   1135.10
20080805 13 14     -0.04   1135.08
99999999 99 99    999.99   9999.99
20080825  9 11     -0.06   1135.06
20080904  7  9     -0.08   1135.04
20080914  5  8     -0.09   1135.03
20080924  3  6     -0.10   1135.02
20081004  1  5     -0.10   1135.02
20081013 23  3     -0.09   1135.03
20081023 21  2     -0.05   1135.07
20081102 19  0     -0.02   1135.10
20081112 16 59      0.01   1135.12
20081122 14 57      0.03   1135.15
20081202 12 56      0.03   1135.15
20081212 10 54      0.02   1135.14
20081222  8 53      0.00   1135.12
20090101  6 52     -0.03   1135.09
20090111  4 50     -0.03   1135.09
20090121  2 49     -0.11   1135.01
20080716 17 17      0.00   1135.12
20080726 15 16     -0.03   1135.09
20080805 13 15     -0.04   1135.08
20080815 11 13     -0.05   1135.07
20080825  9 12     -0.06   1135.06
20080904  7 10     -0.08   1135.04
20080914  5  9     -0.09   1135.03
20080924  3  7     -0.09   1135.03
20081004  1  6     -0.09   1135.03
20081013 23  4     -0.09   1135.03
20081023 21  3     -0.06   1135.06
20081102 19  1     -0.03   1135.09
20081112 17  0     -0.01   1135.11
20081122 14 58      0.01   1135.13
20081202 12 57      0.02   1135.14
20081212 10 55      0.01   1135.13
20081222  8 54      0.00   1135.12
20090101  6 52     -0.01   1135.11
20090111  4 51     -0.01   1135.11
20090121  2 50     -0.01   1135.11
20090130  0 48      0.00   1135.12
20090209 22 47      0.01   1135.13
20090219 20 45      0.02   1135.14
20090301 18 44      0.02   1135.14
20090311 16 42      0.03   1135.15
20090321 14 41      0.04   1135.16
20090331 12 39      0.07   1135.19
20090410 10 38      0.11   1135.23
20090420  8 36      0.14   1135.26
20090430  6 35      0.19   1135.31
20090510  4 33      0.23   1135.35
20090520  2 32      0.25   1135.37
20090529  0 30      0.25   1135.37
20090608 22 29      0.24   1135.36
20090618 20 27      0.22   1135.34
20090628 18 26      0.18   1135.30
20090708 16 24      0.12   1135.24
20090718 14 23      0.08   1135.20
20090728 12 22      0.04   1135.16
20090807 10 20     -0.01   1135.11
20090817  8 19     -0.06   1135.06
20090827  6 17     -0.09   1135.03
20090906  4 16     -0.13   1134.99
20090916  2 14     -0.14   1134.98
20090925  0 13     -0.16   1134.96
20091005 22 11     -0.16   1134.96
20091015 20 10     -0.17   1134.95
20091025 18  8     -0.17   1134.95
20091104 16  7     -0.17   1134.95
20091114 14  5     -0.17   1134.95
20091124 12  4     -0.15   1134.97
20091204 10  2     -0.14   1134.98
20091214  8  1     -0.11   1135.01
20091224  5 59     -0.08   1135.04
20100103  3 58     -0.05   1135.07
20100113  1 56     -0.03   1135.09
20100122 23 55     -0.01   1135.11
20100201 21 54     -0.01   1135.11
20100211 19 52      0.01   1135.13
20100221 17 51      0.04   1135.16
20100303 15 49      0.07   1135.19
20100313 13 48      0.12   1135.24
20100323 11 46      0.17   1135.29
20100402  9 45      0.21   1135.33
20100412  7 43      0.25   1135.37
20100422  5 42      0.29   1135.41
20100502  3 40      0.32   1135.44
20100512  1 39      0.35   1135.47
20100521 23 37      0.38   1135.50
20100531 21 36      0.40   1135.52
20100610 19 34      0.40   1135.52
20100620 17 33      0.38   1135.50
20100630 15 31      0.34   1135.46
20100710 13 30      0.30   1135.42
20100720 11 28      0.26   1135.38
20100730  9 27      0.22   1135.34
20100809  7 25      0.18   1135.30
20100819  5 24      0.15   1135.27
20100829  3 23      0.12   1135.24
20100908  1 21      0.10   1135.22
20100917 23 20      0.08   1135.20
20100927 21 18      0.07   1135.19
20101007 19 17      0.06   1135.18
20101017 17 15      0.05   1135.17
20101027 15 14      0.04   1135.16
20101106 13 12      0.03   1135.15
