تعديل,التاريخ,البحيرة,المنسوب  (م ),المساحة  (كم2 ),السعة التخزينية  (مليار م2 )
,2021-02-07 00:00:00.000,بحيرة منخفض توشكي 4,135,495,9.2
,2021-03-09 00:00:00.000,بحيرة منخفض توشكي 1,156,500,8.7
,2021-03-09 00:00:00.000,بحيرة منخفض توشكي 2,142,257,2.3
,2021-03-09 00:00:00.000,بحيرة منخفض توشكي 3,156,250,3.7
,2021-03-09 00:00:00.000,بحيرة منخفض توشكي 4,135,495,9.2
,2021-03-24 00:00:00.000,بحيرة منخفض توشكي 1,155,485,8.2
,2021-03-24 00:00:00.000,بحيرة منخفض توشكي 2,142,257,2.3
,2021-03-24 00:00:00.000,بحيرة منخفض توشكي 3,155,233,3.5
,2021-03-24 00:00:00.000,بحيرة منخفض توشكي 4,135,495,9.2
,2021-04-08 00:00:00.000,بحيرة منخفض توشكي 1,155,485,8.2
,2021-04-08 00:00:00.000,بحيرة منخفض توشكي 2,142,257,2.3
,2021-04-08 00:00:00.000,بحيرة منخفض توشكي 3,155,233,3.5
,2021-04-08 00:00:00.000,بحيرة منخفض توشكي 4,135,495,9.2
,2021-04-18 00:00:00.000,بحيرة منخفض توشكي 1,155,485,8.2
,2021-04-18 00:00:00.000,بحيرة منخفض توشكي 2,142,257,2.3
,2021-04-18 00:00:00.000,بحيرة منخفض توشكي 3,155,233,3.5
,2021-04-18 00:00:00.000,بحيرة منخفض توشكي 4,135,495,9.2
,2021-06-17 00:00:00.000,بحيرة منخفض توشكي 1,155,485,8.2
,2021-06-17 00:00:00.000,بحيرة منخفض توشكي 2,141,238,2.1
,2021-06-17 00:00:00.000,بحيرة منخفض توشكي 3,155,233,3.5
,2021-06-17 00:00:00.000,بحيرة منخفض توشكي 4,135,495,9.2
,2021-06-27 00:00:00.000,بحيرة منخفض توشكي 1,154,465,7.6
,2021-06-27 00:00:00.000,بحيرة منخفض توشكي 2,141,238,2.1
,2021-06-27 00:00:00.000,بحيرة منخفض توشكي 3,155,233,3.5
,2021-06-27 00:00:00.000,بحيرة منخفض توشكي 4,135,495,9.2
,2021-07-02 00:00:00.000,بحيرة منخفض توشكي 1,154,465,7.6
,2021-07-02 00:00:00.000,بحيرة منخفض توشكي 2,141,238,2.1
,2021-07-02 00:00:00.000,بحيرة منخفض توشكي 3,155,233,3.5
